Date,Day,Gold_USD ($/oz),Duty Regime
03-Jan-2022,Monday,1799.4,High-duty window (15%)
04-Jan-2022,Tuesday,1814.0,High-duty window (15%)
05-Jan-2022,Wednesday,1824.6,High-duty window (15%)
06-Jan-2022,Thursday,1788.7,High-duty window (15%)
07-Jan-2022,Friday,1797.0,High-duty window (15%)
10-Jan-2022,Monday,1798.4,High-duty window (15%)
11-Jan-2022,Tuesday,1818.6,High-duty window (15%)
12-Jan-2022,Wednesday,1827.2,High-duty window (15%)
13-Jan-2022,Thursday,1821.2,High-duty window (15%)
14-Jan-2022,Friday,1816.5,High-duty window (15%)
17-Jan-2022,Monday,,High-duty window (15%)
18-Jan-2022,Tuesday,1812.3,High-duty window (15%)
19-Jan-2022,Wednesday,1843.1,High-duty window (15%)
20-Jan-2022,Thursday,1842.5,High-duty window (15%)
21-Jan-2022,Friday,1831.8,High-duty window (15%)
24-Jan-2022,Monday,1841.7,High-duty window (15%)
25-Jan-2022,Tuesday,1852.7,High-duty window (15%)
26-Jan-2022,Wednesday,1829.9,High-duty window (15%)
27-Jan-2022,Thursday,1793.3,High-duty window (15%)
28-Jan-2022,Friday,1784.9,High-duty window (15%)
31-Jan-2022,Monday,1795.0,High-duty window (15%)
01-Feb-2022,Tuesday,1800.3,High-duty window (15%)
02-Feb-2022,Wednesday,1809.2,High-duty window (15%)
03-Feb-2022,Thursday,1803.0,High-duty window (15%)
04-Feb-2022,Friday,1806.6,High-duty window (15%)
07-Feb-2022,Monday,1820.6,High-duty window (15%)
08-Feb-2022,Tuesday,1826.6,High-duty window (15%)
09-Feb-2022,Wednesday,1835.2,High-duty window (15%)
10-Feb-2022,Thursday,1836.2,High-duty window (15%)
11-Feb-2022,Friday,1840.8,High-duty window (15%)
14-Feb-2022,Monday,1868.0,High-duty window (15%)
15-Feb-2022,Tuesday,1854.8,High-duty window (15%)
16-Feb-2022,Wednesday,1870.2,High-duty window (15%)
17-Feb-2022,Thursday,1900.7,High-duty window (15%)
18-Feb-2022,Friday,1898.6,High-duty window (15%)
21-Feb-2022,Monday,,High-duty window (15%)
22-Feb-2022,Tuesday,1906.1,High-duty window (15%)
23-Feb-2022,Wednesday,1909.2,High-duty window (15%)
24-Feb-2022,Thursday,1925.1,High-duty window (15%)
25-Feb-2022,Friday,1886.5,High-duty window (15%)
28-Feb-2022,Monday,1899.4,High-duty window (15%)
01-Mar-2022,Tuesday,1942.4,High-duty window (15%)
02-Mar-2022,Wednesday,1920.9,High-duty window (15%)
03-Mar-2022,Thursday,1934.4,High-duty window (15%)
04-Mar-2022,Friday,1965.1,High-duty window (15%)
07-Mar-2022,Monday,1993.9,High-duty window (15%)
08-Mar-2022,Tuesday,2040.1,High-duty window (15%)
09-Mar-2022,Wednesday,1985.9,High-duty window (15%)
10-Mar-2022,Thursday,1998.1,High-duty window (15%)
11-Mar-2022,Friday,1982.7,High-duty window (15%)
14-Mar-2022,Monday,1959.6,High-duty window (15%)
15-Mar-2022,Tuesday,1928.5,High-duty window (15%)
16-Mar-2022,Wednesday,1908.0,High-duty window (15%)
17-Mar-2022,Thursday,1942.1,High-duty window (15%)
18-Mar-2022,Friday,1928.2,High-duty window (15%)
21-Mar-2022,Monday,1928.6,High-duty window (15%)
22-Mar-2022,Tuesday,1920.7,High-duty window (15%)
23-Mar-2022,Wednesday,1936.6,High-duty window (15%)
24-Mar-2022,Thursday,1961.6,High-duty window (15%)
25-Mar-2022,Friday,1953.8,High-duty window (15%)
28-Mar-2022,Monday,1939.6,High-duty window (15%)
29-Mar-2022,Tuesday,1912.0,High-duty window (15%)
30-Mar-2022,Wednesday,1933.5,High-duty window (15%)
31-Mar-2022,Thursday,1949.2,High-duty window (15%)
01-Apr-2022,Friday,1919.1,High-duty window (15%)
04-Apr-2022,Monday,1929.2,High-duty window (15%)
05-Apr-2022,Tuesday,1922.9,High-duty window (15%)
06-Apr-2022,Wednesday,1918.4,High-duty window (15%)
07-Apr-2022,Thursday,1933.8,High-duty window (15%)
08-Apr-2022,Friday,1941.6,High-duty window (15%)
11-Apr-2022,Monday,1944.3,High-duty window (15%)
12-Apr-2022,Tuesday,1972.1,High-duty window (15%)
13-Apr-2022,Wednesday,1981.0,High-duty window (15%)
14-Apr-2022,Thursday,1970.9,High-duty window (15%)
15-Apr-2022,Friday,,High-duty window (15%)
18-Apr-2022,Monday,1982.9,High-duty window (15%)
19-Apr-2022,Tuesday,1955.7,High-duty window (15%)
20-Apr-2022,Wednesday,1952.3,High-duty window (15%)
21-Apr-2022,Thursday,1944.9,High-duty window (15%)
22-Apr-2022,Friday,1931.0,High-duty window (15%)
25-Apr-2022,Monday,1893.2,High-duty window (15%)
26-Apr-2022,Tuesday,1901.4,High-duty window (15%)
27-Apr-2022,Wednesday,1885.9,High-duty window (15%)
28-Apr-2022,Thursday,1888.7,High-duty window (15%)
29-Apr-2022,Friday,1909.3,High-duty window (15%)
02-May-2022,Monday,1861.8,High-duty window (15%)
03-May-2022,Tuesday,1868.8,High-duty window (15%)
04-May-2022,Wednesday,1867.0,High-duty window (15%)
05-May-2022,Thursday,1874.0,High-duty window (15%)
06-May-2022,Friday,1881.2,High-duty window (15%)
30-May-2022,Monday,,High-duty window (15%)
02-Jun-2022,Thursday,1866.5,High-duty window (15%)
20-Jun-2022,Monday,,High-duty window (15%)
30-Jun-2022,Thursday,1804.1,High-duty window (15%)
04-Jul-2022,Monday,,High-duty window (15%)
08-Aug-2022,Monday,1786.8,High-duty window (15%)
12-Aug-2022,Friday,1798.6,High-duty window (15%)
30-Aug-2022,Tuesday,1723.2,High-duty window (15%)
05-Sep-2022,Monday,,High-duty window (15%)
04-Oct-2022,Tuesday,1721.1,High-duty window (15%)
21-Oct-2022,Friday,1651.0,High-duty window (15%)
25-Oct-2022,Tuesday,1652.8,High-duty window (15%)
04-Nov-2022,Friday,1672.5,High-duty window (15%)
07-Nov-2022,Monday,1676.5,High-duty window (15%)
24-Nov-2022,Thursday,,High-duty window (15%)
26-Dec-2022,Monday,,High-duty window (15%)
29-Dec-2022,Thursday,1819.5,High-duty window (15%)
02-Jan-2023,Monday,,High-duty window (15%)
16-Jan-2023,Monday,,High-duty window (15%)
23-Jan-2023,Monday,1927.1,High-duty window (15%)
25-Jan-2023,Wednesday,1941.2,High-duty window (15%)
20-Feb-2023,Monday,,High-duty window (15%)
28-Feb-2023,Tuesday,1828.9,High-duty window (15%)
06-Mar-2023,Monday,1847.9,High-duty window (15%)
29-Mar-2023,Wednesday,1966.1,High-duty window (15%)
31-Mar-2023,Friday,1969.0,High-duty window (15%)
03-Apr-2023,Monday,1983.9,High-duty window (15%)
06-Apr-2023,Thursday,2011.9,High-duty window (15%)
07-Apr-2023,Friday,,High-duty window (15%)
12-Apr-2023,Wednesday,2010.9,High-duty window (15%)
13-Apr-2023,Thursday,2041.3,High-duty window (15%)
24-Apr-2023,Monday,1989.1,High-duty window (15%)
28-Apr-2023,Friday,1990.1,High-duty window (15%)
29-May-2023,Monday,,High-duty window (15%)
31-May-2023,Wednesday,1963.9,High-duty window (15%)
01-Jun-2023,Thursday,1978.0,High-duty window (15%)
02-Jun-2023,Friday,1952.4,High-duty window (15%)
05-Jun-2023,Monday,1958.0,High-duty window (15%)
06-Jun-2023,Tuesday,1965.5,High-duty window (15%)
07-Jun-2023,Wednesday,1942.7,High-duty window (15%)
08-Jun-2023,Thursday,1963.6,High-duty window (15%)
19-Jun-2023,Monday,,High-duty window (15%)
28-Jun-2023,Wednesday,1912.3,High-duty window (15%)
29-Jun-2023,Thursday,1909.2,High-duty window (15%)
30-Jun-2023,Friday,1921.1,High-duty window (15%)
03-Jul-2023,Monday,1921.7,High-duty window (15%)
04-Jul-2023,Tuesday,,High-duty window (15%)
05-Jul-2023,Wednesday,1919.6,High-duty window (15%)
06-Jul-2023,Thursday,1908.7,High-duty window (15%)
07-Jul-2023,Friday,1926.2,High-duty window (15%)
10-Jul-2023,Monday,1925.0,High-duty window (15%)
11-Jul-2023,Tuesday,1931.3,High-duty window (15%)
12-Jul-2023,Wednesday,1956.2,High-duty window (15%)
13-Jul-2023,Thursday,1959.2,High-duty window (15%)
14-Jul-2023,Friday,1960.1,High-duty window (15%)
17-Jul-2023,Monday,1952.4,High-duty window (15%)
18-Jul-2023,Tuesday,1977.2,High-duty window (15%)
19-Jul-2023,Wednesday,1977.5,High-duty window (15%)
20-Jul-2023,Thursday,1968.3,High-duty window (15%)
21-Jul-2023,Friday,1964.3,High-duty window (15%)
24-Jul-2023,Monday,1960.3,High-duty window (15%)
25-Jul-2023,Tuesday,1962.1,High-duty window (15%)
26-Jul-2023,Wednesday,1968.9,High-duty window (15%)
27-Jul-2023,Thursday,1945.4,High-duty window (15%)
28-Jul-2023,Friday,1960.4,High-duty window (15%)
31-Jul-2023,Monday,1970.5,High-duty window (15%)
01-Aug-2023,Tuesday,1940.7,High-duty window (15%)
02-Aug-2023,Wednesday,1937.4,High-duty window (15%)
03-Aug-2023,Thursday,1932.0,High-duty window (15%)
04-Aug-2023,Friday,1939.6,High-duty window (15%)
07-Aug-2023,Monday,1933.5,High-duty window (15%)
08-Aug-2023,Tuesday,1924.1,High-duty window (15%)
09-Aug-2023,Wednesday,1915.4,High-duty window (15%)
10-Aug-2023,Thursday,1914.4,High-duty window (15%)
11-Aug-2023,Friday,1912.9,High-duty window (15%)
14-Aug-2023,Monday,1910.6,High-duty window (15%)
15-Aug-2023,Tuesday,1902.5,High-duty window (15%)
16-Aug-2023,Wednesday,1896.1,High-duty window (15%)
17-Aug-2023,Thursday,1884.1,High-duty window (15%)
